Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545,6,7,4.09,23087,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79249,6,7,3.09,40173,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287,6,9,5.13,36882,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345,7,6,3.26,34310,1260616.807,"USS Barnett
FPO AP 44820"
59982,5,8,4.23,26354,630943.4893,"USNS Raymond
FPO AE 09386"
80176,5,6,4.04,26748,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698,6,8,3.41,60828,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394,7,7,2.42,36516,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59928,5,6,2.3,29387,798869.5328,"USS Gilbert
FPO AA 20957"
81886,4,8,6.1,40150,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80527,8,5,4.1,47224,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50594,4,7,4.49,34344,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39034,8,7,3.1,39220,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73164,7,6,2.27,32326,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391,5,8,4.37,35521,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73092,5,9,4.01,23930,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79707,5,8,3.12,39718,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929,5,5,4.3,24596,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508,6,7,5.12,35720,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
62085,6,7,5.49,44922,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86295,7,8,4.07,47561,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835,6,7,2.1,45575,929247.5995,"USNS Brown
FPO AP 85833"
64491,4,5,4.31,40359,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
